Entity ID,SKU,Error
15589,DMM-0372-Green-18_cm,Missing or zero price for simple product
15590,BDI-0969-12_cm,Missing or zero price for simple product
15606,BDI-0709-Vapor_Gray-S-M,Missing or zero price for simple product
15607,BLU-0121-18_in-Yellow,Missing or zero price for simple product
15608,BDI-0969-18_cm,Missing or zero price for simple product
15611,BDI-0711-Green_Sage-M-L,Missing or zero price for simple product
15613,MET-0432-20_in,Missing or zero price for simple product
15616,BDI-0968-Matte_Blac,Missing or zero price for simple product
15620,BEA-0096-Pet_Blue-30M,Missing or zero price for simple product
15622,PTZ-0590-Grey-Size_2,Missing or zero price for simple product
15623,TRG-0105-Rack_Pack,Missing or zero price for simple product
15630,EDL-0174-120_cm,Missing or zero price for simple product
15631,BDI-0968-Powell_Blu,Missing or zero price for simple product
15633,BDI-0711-Dark_Denim-S-M,Missing or zero price for simple product
15635,PTZ-0590-White-Size_1,Missing or zero price for simple product
15637,BDI-0067-Red_Clay-L,Missing or zero price for simple product
15642,BDI-0976-12_cm,Missing or zero price for simple product
15647,STR-0147-80M-Neon_Green-Dry,Missing or zero price for simple product
15651,DMM-0238-12_cm,Missing or zero price for simple product
15655,PTZ-0590-Red-Size_1,Missing or zero price for simple product
15656,RAB-0091-Dark_shark-L,Missing or zero price for simple product
15658,BEA-0107-75_cm,Missing or zero price for simple product
15659,BDI-0073-Ultra_Blue-M/L,Missing or zero price for simple product
15661,BDI-0830-Proc_Blue,Missing or zero price for simple product
15663,PTZ-0642-Size_0,Missing or zero price for simple product
15665,BLU-0122-24_in-Blue,Missing or zero price for simple product
15667,BDI-0976-18_cm,Missing or zero price for simple product
15671,BEA-0107-50_cm,Missing or zero price for simple product
15672,CMP-0237-11_cm_5_Pk,Missing or zero price for simple product
15674,BDI-0977-Eletric_Bl,Missing or zero price for simple product
15676,BLU-0029-Blue/Red-60M-Double_Dry,Missing or zero price for simple product
15677,BDI-0977-Coral_Pink,Missing or zero price for simple product
15678,BDI-0073-Ultra_Blue-S/M,Missing or zero price for simple product
15679,BDI-0703-Matte_Blac,Missing or zero price for simple product
15680,PTZ-0601-Size_2,Missing or zero price for simple product
15681,BDI-0958-18_cm,Missing or zero price for simple product
15684,PTZ-0373-Size_2-Blue,Missing or zero price for simple product
15685,BDI-0920-12_cm,Missing or zero price for simple product
15686,BDI-0920-18_cm,Missing or zero price for simple product
15689,GRV-0223-Cramp-O-Ma,Missing or zero price for simple product
15695,PTZ-0601-Size_1,Missing or zero price for simple product
15698,DMM-0212-Set_3-8,Missing or zero price for simple product
15700,GRV-0227-Ice_Blade,Missing or zero price for simple product
15783,CMP-0222-11_cm_5pk,Missing or zero price for simple product
15786,TRG-0104-18_cm,Missing or zero price for simple product
15787,BDI-0922-Matte_Blac,Missing or zero price for simple product
15788,MET-0416-7_in,Missing or zero price for simple product
16422,BDI-0751-Blazing_Yellow,Missing or zero price for simple product
16423,BDI-0904-18_cm,Missing or zero price for simple product
16426,BLU-0029-Blue/Red-70M-Double_Dry,Missing or zero price for simple product
16448,DMM-0412-25_cm,Missing or zero price for simple product
16449,PTZ-0370-Size_2-Yellow,Missing or zero price for simple product
16467,LSP-0164-Ice_Blue-L,Missing or zero price for simple product
16468,BDI-1000-Dual_Blue-35M,Missing or zero price for simple product
16469,BDI-1000-Dual_Blue-40M,Missing or zero price for simple product
16487,BLU-0120-11_in-Blue,Missing or zero price for simple product
16488,BLU-0121-24_in-Red,Missing or zero price for simple product
16490,BLU-0120-44_in-Blue,Missing or zero price for simple product
16537,BLU-0121-68_in-Red,Missing or zero price for simple product
16538,FXE-013-Orange-60M,Missing or zero price for simple product
16539,BDI-0749-Vibrant_Orange,Missing or zero price for simple product
16542,PTZ-0590-White-Size_2,Missing or zero price for simple product
16543,BDI-0123-One_Size,Missing or zero price for simple product
16544,LSP-0231-Black/Sulp-40,Missing or zero price for simple product
16545,PTZ-0729-White,Missing or zero price for simple product
16546,LSP-0219-Gry/Yel-40,Missing or zero price for simple product
16547,LSP-0231-Black/Sulp-40.5,Missing or zero price for simple product
16548,LSP-0230-Grey-37,Missing or zero price for simple product
16549,LSP-0248-OceanFlame-44,Missing or zero price for simple product
17413,LSP-0217,Configurable product has no valid children
17431,LSP-0235,Configurable product has no valid children
17439,LSP-0243,Configurable product has no valid children
17449,LSP-0253,Configurable product has no valid children
17452,PTZ-0729-Blue,Missing or zero price for simple product
17453,BDI-0958-12_cm,Missing or zero price for simple product
17454,DMM-0248-30_cm,Missing or zero price for simple product
17455,DMM-0412-12_cm,Missing or zero price for simple product
17456,BDI-0073-BD_Orange-S/M,Missing or zero price for simple product
17542,MET-0354-7_in,Missing or zero price for simple product
17545,MET-0363-1_oz,Missing or zero price for simple product
17546,BLU-0093-Royal_Blue,Missing or zero price for simple product
17547,BLU-0121-24_in-Yellow,Missing or zero price for simple product
17549,BDI-1000-Dual_Blue-60M,Missing or zero price for simple product
17551,LSP-0164-Ice_Blue-M,Missing or zero price for simple product
17552,ABC-0053-12_in,Missing or zero price for simple product
17553,LSP-0164-Ice_Blue-S,Missing or zero price for simple product
17554,MET-0354-5_in,Missing or zero price for simple product
17555,EDR-0056-48_in,Missing or zero price for simple product
17556,BDI-1000-Dual_Blue-70M,Missing or zero price for simple product
17557,DMM-0248-240_cm,Missing or zero price for simple product
17558,BDI-0750-Vibrant_Orange,Missing or zero price for simple product
17559,BDI-0979-Matte_Blac,Missing or zero price for simple product
17560,BDI-0958-18_cm_6pk,Missing or zero price for simple product
17561,PTZ-0678-Size_1,Missing or zero price for simple product
17562,MET-0399-25_cm,Missing or zero price for simple product
17563,PTZ-0731,Missing or zero price for simple product
17564,PTZ-0593-Size_2,Missing or zero price for simple product
17566,DMM-0248-60_cm,Missing or zero price for simple product
17567,STR-0134-Ice_Blue-60M,Missing or zero price for simple product
17568,BLU-0092-Royal_Blue,Missing or zero price for simple product
17584,BDI-0904-12_cm,Missing or zero price for simple product
17585,DMM-0250-120_cm,Missing or zero price for simple product
17586,DMM-0472-25_cm,Missing or zero price for simple product
17587,PTZ-0676-Size_1,Missing or zero price for simple product
17589,BDI-0710-Repo_Pink-S-M,Missing or zero price for simple product
17590,DMM-0249-18_cm,Missing or zero price for simple product
17591,DMM-0249-12_cm,Missing or zero price for simple product
17592,BDI-0710-Repo_Blue-S-M,Missing or zero price for simple product
17593,BEA-0101-Size_2,Missing or zero price for simple product
17594,BDI-1043,Missing or zero price for simple product
17595,MET-0415-10_ml,Missing or zero price for simple product
17596,DMM-0412-18_cm,Missing or zero price for simple product
17597,MET-0415-30_ml,Missing or zero price for simple product
17598,BDI-0830-Vibrant_Or,Missing or zero price for simple product
17599,DMM-0472-12_cm,Missing or zero price for simple product
17600,DMM-0472-18_cm,Missing or zero price for simple product
17602,DMM-0375-Gun_Metal,Missing or zero price for simple product
17603,BLU-0139-36_in,Missing or zero price for simple product
17604,DMM-0250-60_cm,Missing or zero price for simple product
17605,STR-0162-M-Orange,Missing or zero price for simple product
17607,DMM-0476-Gun_Metal,Missing or zero price for simple product
17609,BDI-0830-Matte_Blac,Missing or zero price for simple product
17610,PTZ-0689-Size_2,Missing or zero price for simple product
17611,MET-0363-0.5_oz,Missing or zero price for simple product
17612,BLU-0139-24_in,Missing or zero price for simple product
17613,TRG-0140,Missing or zero price for simple product
17615,BDI-0710-Repo_Green-S-M,Missing or zero price for simple product
17616,BDI-0961-Ultra_Blue-M,Missing or zero price for simple product
17618,CMP-0219-080_,Missing or zero price for simple product
17620,BLU-0151,Missing or zero price for simple product
17621,PTZ-0689-Size_1,Missing or zero price for simple product
17622,BLU-0157,Missing or zero price for simple product
17623,BLU-0155,Missing or zero price for simple product
17624,BLU-0158,Missing or zero price for simple product
17625,DMM-0181-18_cm-Red,Missing or zero price for simple product
17631,BLU-0156,Missing or zero price for simple product
17632,BLU-0164,Missing or zero price for simple product
17633,DMM-0475-Gun_Metal,Missing or zero price for simple product
17634,GRV-0195-60_cm,Missing or zero price for simple product
17635,GRV-0195-120_cm,Missing or zero price for simple product
17637,BLU-0163,Missing or zero price for simple product
17638,TRG-0104-12_cm_6pk,Missing or zero price for simple product
17639,BDI-0875-Fire_(Red)-M/L,Missing or zero price for simple product
17640,BLU-0139-48_in,Missing or zero price for simple product
17641,BLU-0024-Red-60M-Double_Dry,Missing or zero price for simple product
17642,GRV-0092-20_cm-16_cm,Missing or zero price for simple product
17643,RAB-0053-Dark_shark-XL,Missing or zero price for simple product
17644,DMM-0181-25_cm-Red,Missing or zero price for simple product
17652,BLU-0145,Missing or zero price for simple product
17653,PTZ-0590-Red-Size_2,Missing or zero price for simple product
17664,BLU-0165,Missing or zero price for simple product
17676,BDI-0961-Ultra_Blue-S,Missing or zero price for simple product
17736,BLU-0153,Missing or zero price for simple product
17737,BDI-0921-18_cm,Missing or zero price for simple product
17748,DMM-0372-Green-12_cm,Missing or zero price for simple product
17750,BLU-0154,Missing or zero price for simple product
17751,BLU-0120-68_in-Brown,Missing or zero price for simple product
17752,BLU-0149,Missing or zero price for simple product
17753,PTZ-0678-Size_2,Missing or zero price for simple product
17815,BLU-0110-6_in,Missing or zero price for simple product
17816,BLU-0166,Missing or zero price for simple product
17839,BLU-0167,Missing or zero price for simple product
17840,BDI-0901-18_cm,Missing or zero price for simple product
17841,BEA-0122-60_cm,Missing or zero price for simple product
17845,GRV-0233-20_cm-10_cm,Missing or zero price for simple product
17846,BLU-0150,Missing or zero price for simple product
17850,BDI-0956-3pk,Missing or zero price for simple product
17854,BLU-0159,Missing or zero price for simple product
17857,BDI-1065,Configurable product has no valid children
17862,BDI-1059-Gun_Metal-M,Missing or zero price for simple product
17877,BDI-1001-Dual_Rd/Or-60M,Missing or zero price for simple product
17878,PTZ-0644-Size_2,Missing or zero price for simple product
17879,BEA-0100-Size_2,Missing or zero price for simple product
17880,GRV-0246-Yellow,Missing or zero price for simple product
17957,BLU-0148,Missing or zero price for simple product
17966,"MET-0343-192""_(480cm)",Missing or zero price for simple product
17972,CMP-0221-11_cm_5pk,Missing or zero price for simple product
18013,PTZ-0709-60_cm,Missing or zero price for simple product
18014,PTZ-0772-Black,Missing or zero price for simple product
18015,BLU-0176-Red,Missing or zero price for simple product
18016,TRG-0108-17_cm,Missing or zero price for simple product
18017,PTZ-0772-Orange,Missing or zero price for simple product
18018,BLU-0174-Red,Missing or zero price for simple product
18028,BLU-0172-Yellow,Missing or zero price for simple product
18029,BDI-0961-Ultra_Blue-L,Missing or zero price for simple product
18030,PTZ-0590-Blue-Size_1,Missing or zero price for simple product
18031,BDI-0917-Matte_Blac,Missing or zero price for simple product
18032,BLU-0176-Royal_Blue,Missing or zero price for simple product
18033,PTZ-0620-Raspberry_,Missing or zero price for simple product
